case_ref,case_level,status,raised_date,approved_date,implemented_date,target_cycle
CAS-10795205-U0G5,ORGANIZATION,Implemented,2026-08-01,2026-08-19,2026-09-15,1H27
CAS-10815668-C8U5,ORGANIZATION,Implemented,2026-06-05,2026-06-18,2026-07-10,1H27
CAS-10720032-T8L4,ORGANIZATION,Submitted,2026-03-08,2026-03-14,,1H27
CAS-10606274-M4L6,ORGANIZATION,Open,2026-04-25,,,1H27
CAS-10633664-T6J6,ORGANIZATION,Withdrawn,2026-04-17,,,1H27
CAS-10728372-N5R1,ORGANIZATION,Implemented,2026-03-23,2026-03-27,2026-04-19,1H27
CAS-11004139-D7W1,ORGANIZATION,Pending BA Approval,2026-06-10,,,1H27
CAS-10970710-X6W7,ORGANIZATION,Implemented,2026-03-23,2026-04-12,2026-04-21,1H27
CAS-10807687-Y0G6,ORGANIZATION,Implemented,2026-02-20,2026-03-03,2026-03-06,1H27
CAS-10865103-X5S7,ORGANIZATION,Implemented,2026-02-03,2026-02-28,2026-03-11,1H27
CAS-11093358-Z6U6,ORGANIZATION,Submitted,2026-02-14,2026-03-06,,1H27
CAS-10988383-H2P0,ORGANIZATION,Implemented,2026-06-17,2026-06-28,2026-07-14,1H27
CAS-10929933-W9P2,ORGANIZATION,BA Approved,2026-05-19,2026-05-31,,1H27
CAS-10747873-Y3E6,ORGANIZATION,Implemented,2026-02-28,2026-03-08,2026-03-20,1H27
CAS-10562467-K9S5,ORGANIZATION,Implemented,2026-06-06,2026-06-24,2026-07-05,1H27
CAS-10807035-Q2Y3,ORGANIZATION,Implemented,2026-03-13,2026-03-19,2026-04-03,1H27
CAS-10936570-N8W1,ORGANIZATION,Pending BA Approval,2026-03-16,,,1H27
CAS-10667741-G0Q4,ORGANIZATION,BA Approved,2026-04-18,2026-05-12,,1H27
CAS-10811707-X3E2,ORGANIZATION,Implemented,2026-07-27,2026-08-05,2026-08-21,1H27
CAS-10565614-W9F5,ORGANIZATION,Implemented,2026-02-04,2026-02-24,2026-03-18,1H27
CAS-11045898-B8X1,ORGANIZATION,No Change,2026-04-23,,,1H27
CAS-11146747-D1E3,ORGANIZATION,Implemented,2026-06-14,2026-06-29,2026-07-18,1H27
CAS-10564327-R4P7,ORGANIZATION,Implemented,2026-04-25,2026-05-19,2026-06-11,1H27
CAS-11046875-W6U4,ORGANIZATION,Submitted,2026-05-21,2026-06-13,,1H27
CAS-10621511-T1G3,ORGANIZATION,Implemented,2026-04-23,2026-04-27,2026-05-19,1H27
CAS-10896687-C8M9,ORGANIZATION,Implemented,2026-02-13,2026-03-04,2026-03-10,1H27
CAS-11141614-G2U2,ORGANIZATION,Implemented,2026-05-01,2026-05-17,2026-05-25,1H27
CAS-11068896-N0Y3,ORGANIZATION,Implemented,2026-06-18,2026-07-05,2026-07-17,1H27
CAS-10747175-N9G6,ORGANIZATION,Implemented,2026-04-16,2026-04-19,2026-05-12,1H27
CAS-10608232-C7U6,ORGANIZATION,Implemented,2026-02-20,2026-02-24,2026-03-26,1H27
CAS-11116240-J7Q8,ORGANIZATION,Implemented,2026-05-04,2026-05-29,2026-06-01,1H27
CAS-10641102-V3U2,ORGANIZATION,Implemented,2026-03-11,2026-03-26,2026-04-24,1H27
CAS-10575300-P4V6,ORGANIZATION,Implemented,2026-05-03,2026-05-26,2026-06-07,1H27
CAS-10897589-N1R1,ORGANIZATION,Implemented,2026-03-11,2026-03-31,2026-04-20,1H27
CAS-10651343-H4X2,ORGANIZATION,Submitted,2026-02-09,2026-03-01,,1H27
CAS-10548789-B0D1,ORGANIZATION,Implemented,2026-06-25,2026-07-12,2026-08-02,1H27
CAS-11059818-V5C3,ORGANIZATION,Implemented,2026-06-17,2026-07-11,2026-07-24,1H27
CAS-10605603-W3V7,ORGANIZATION,Implemented,2026-03-10,2026-03-27,2026-04-19,1H27
CAS-10754736-M8U9,ORGANIZATION,Implemented,2026-02-02,2026-02-16,2026-03-05,1H27
CAS-10593042-J4C1,ORGANIZATION,Pending BA Approval,2026-05-14,,,1H27
CAS-11068559-W7K4,ORGANIZATION,Implemented,2026-07-02,2026-07-04,2026-07-30,1H27
CAS-10735669-S5Q0,ORGANIZATION,BA Approved,2026-07-13,2026-07-16,,1H27
CAS-10837048-Z0U6,ORGANIZATION,BA Approved,2026-07-20,2026-08-01,,1H27
CAS-11165843-E6J8,ORGANIZATION,BA Approved,2026-07-22,2026-07-25,,1H27
CAS-10873765-W2G1,TERRITORY,Open,2026-04-18,,,1H27
CAS-10755377-Q3F4,TERRITORY,Implemented,2026-06-19,2026-07-04,2026-07-28,1H27
CAS-10504196-T5J0,TERRITORY,Open,2026-05-22,,,1H27
CAS-11000230-A0M6,TERRITORY,BA Approved,2026-04-07,2026-04-27,,1H27
CAS-11163987-J0F0,TERRITORY,BA Approved,2026-06-29,2026-07-18,,1H27
CAS-10889828-Z1U8,TERRITORY,Pending BA Approval,2026-05-29,,,1H27
CAS-11158372-J0M4,TERRITORY,Implemented,2026-05-14,2026-05-26,2026-06-14,1H27
CAS-11076339-W2K1,TERRITORY,Pending BA Approval,2026-04-17,,,1H27
CAS-10612314-D4Z3,TERRITORY,Implemented,2026-06-08,2026-06-26,2026-07-09,1H27
CAS-11166598-H6Q8,TERRITORY,Submitted,2026-06-20,2026-06-25,,1H27
CAS-10920578-R7F8,TERRITORY,Implemented,2026-03-03,2026-03-22,2026-04-15,1H27
CAS-10715281-P2E3,TERRITORY,Implemented,2026-03-22,2026-04-05,2026-04-29,1H27
CAS-10967867-X1Y6,TERRITORY,No Change,2026-04-25,,,1H27
CAS-10856400-X3J3,TERRITORY,Implemented,2026-05-25,2026-06-08,2026-06-20,1H27
CAS-10766776-G4P2,TERRITORY,Implemented,2026-02-24,2026-03-18,2026-03-24,1H27
CAS-10645627-Y1J2,TERRITORY,Implemented,2026-05-14,2026-05-22,2026-05-28,1H27
CAS-10891344-D1B1,TERRITORY,Pending BA Approval,2026-03-16,,,1H27
CAS-10963983-Q5Y5,TERRITORY,Implemented,2026-05-22,2026-06-16,2026-07-09,1H27
CAS-11197973-X8D9,TERRITORY,BA Approved,2026-03-30,2026-04-15,,1H27
CAS-11004282-D0P2,TERRITORY,BA Approved,2026-04-10,2026-04-15,,1H27
CAS-10731793-U2B4,TERRITORY,Implemented,2026-06-27,2026-07-19,2026-08-10,1H27
CAS-11131552-A1F2,TERRITORY,Implemented,2026-06-14,2026-06-24,2026-07-06,1H27
CAS-11187355-U9W7,TERRITORY,Implemented,2026-06-08,2026-06-17,2026-06-30,1H27
CAS-11068691-W2J6,TERRITORY,Implemented,2026-03-29,2026-03-31,2026-04-02,1H27
CAS-11169512-P9U8,TERRITORY,Withdrawn,2026-04-25,,,1H27
CAS-10607072-C9N9,TERRITORY,Implemented,2026-04-16,2026-04-18,2026-05-11,1H27
CAS-10714686-F3A6,TERRITORY,Implemented,2026-06-04,2026-06-15,2026-07-05,1H27
CAS-11096368-V9R4,TERRITORY,BA Approved,2026-05-24,2026-06-11,,1H27
CAS-11008288-M4F4,TERRITORY,Open,2026-07-30,,,1H27
CAS-10653994-X3K9,TERRITORY,Submitted,2026-03-29,2026-04-14,,1H27
CAS-10794745-J0D3,TERRITORY,Submitted,2026-05-17,2026-06-04,,1H27
CAS-10862201-S1Z9,TERRITORY,Implemented,2026-06-01,2026-06-11,2026-06-25,1H27
CAS-10650173-P5C0,TERRITORY,Implemented,2026-05-04,2026-05-19,2026-06-06,1H27
CAS-11166264-V4B0,TERRITORY,Pending BA Approval,2026-07-08,,,1H27
CAS-10998940-W0X9,TERRITORY,Implemented,2026-07-02,2026-07-21,2026-07-31,1H27
